order_id,order_date,region,product,category,units_sold,unit_price
1001,2024-01-03,North,Alpha,Software,5,199.99
1002,2024-01-07,South,Beta,Hardware,2,499.00
1003,2024-01-12,East,Gamma,Software,7,149.50
1004,2024-02-02,West,Alpha,Software,3,199.99
1005,2024-02-20,North,Beta,Hardware,1,499.00
1006,2024-03-05,South,Gamma,Software,10,149.50
1007,2024-03-15,East,Delta,Services,4,999.00
1008,2024-04-01,North,Alpha,Software,6,199.99
1009,2024-04-18,West,Delta,Services,2,999.00
1010,2024-05-09,South,Gamma,Software,8,149.50
1011,2024-05-21,East,Beta,Hardware,5,499.00
1012,2024-06-11,North,Alpha,Software,7,199.99
1013,2024-06-30,South,Delta,Services,3,999.00
1014,2024-07-05,East,Gamma,Software,9,149.50
1015,2024-07-22,West,Beta,Hardware,4,499.00
1016,2024-08-10,North,Delta,Services,1,999.00
1017,2024-08-29,South,Alpha,Software,11,199.99
1018,2024-09-03,East,Beta,Hardware,2,499.00
1019,2024-09-15,West,Gamma,Software,6,149.50
1020,2024-10-01,North,Delta,Services,5,999.00
